"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Adam Prentice","NO","0.0","13.6","0.1","4.1","20.0","0.2","0.0","5.3"
"Michael Burton","DEN","4.7","12.1","0.1","3.3","19.3","0.2","0.0","5.1"
"Henry Pearson","GB","0.0","13.1","0.1","3.7","16.4","0.2","0.0","4.9"
"Jason Huntley","IND","5.0","14.6","0.1","2.3","17.7","0.1","0.0","4.5"
"Khari Blasingame","CHI","5.8","13.8","0.1","2.6","12.1","0.1","0.0","4.0"
"Jack Colletto","SF","0.0","7.3","0.1","3.6","16.3","0.2","0.0","3.9"
"Keith Smith","ATL","5.4","12.2","0.1","2.8","11.5","0.1","0.0","3.8"
"Jakob Johnson","LV","0.0","2.0","0.0","4.5","16.0","0.2","0.0","2.9"
"Ellis Merriweather","NO","0.0","10.2","0.1","0.5","3.7","0.0","0.0","2.0"
"Tyler Goodson","GB","0.0","10.2","0.1","0.5","2.6","0.0","0.0","1.9"
"Nick Bellore","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
