"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ray-Ray McCloud III","SF","3.3","39.1","0.1","2.8","23.6","0.2","0.1","8.4"
"Dante Pettis","CHI","6.3","65.6","0.2","0.1","4.5","0.0","0.0","8.3"
"Ronnie Bell","SF","4.4","57.1","0.3","0.0","4.7","0.0","0.0","8.3"
"Justin Shorter","BUF","0.0","81.8","0.0","0.3","2.1","0.0","0.1","8.2"
"Darrius Shepherd","LAC","4.2","57.2","0.3","0.0","5.0","0.0","0.0","8.1"
"Lance McCutcheon","LAR","3.8","63.4","0.3","0.0","0.7","0.0","0.0","8.0"
"Jalen Reagor","MIN","5.6","46.4","0.2","2.5","13.8","0.1","0.1","7.7"
"Kevin Austin Jr.","JAC","4.3","53.9","0.3","0.0","1.9","0.0","0.0","7.6"
"Byron Pringle","WAS","6.8","63.9","0.2","0.0","0.0","0.0","0.0","7.6"
"Gunner Olszewski","PIT","2.3","39.6","0.2","0.0","24.1","0.0","0.1","7.4"
"Jalen Virgil","DEN","4.2","54.0","0.3","0.0","0.0","0.0","0.0","7.4"
"Demetric Felton Jr.","CLE","0.0","70.1","0.0","0.3","1.8","0.0","0.0","7.2"
"Bryce Ford-Wheaton","NYG","0.0","70.1","0.0","0.3","1.8","0.0","0.0","7.2"
"KaVontae Turpin","DAL","4.8","47.8","0.3","0.1","3.6","0.0","0.0","6.8"
"Maurice Alexander","DET","3.6","48.3","0.3","0.0","0.0","0.0","0.0","6.8"
"Trinity Benson","DET","3.5","46.8","0.3","0.0","0.0","0.0","0.0","6.7"
"Matthew Slater","NE","2.1","53.8","0.2","0.0","1.2","0.0","0.0","6.6"
"Joe Reed","CHI","2.1","45.4","0.2","0.0","7.7","0.0","0.0","6.6"
"Bo Melton","GB","3.7","44.5","0.3","0.0","2.6","0.0","0.0","6.4"
"Dezmon Patmon","BUF","3.6","44.0","0.3","0.0","0.0","0.0","0.0","6.4"
"Isaiah Coulter","BUF","3.7","44.4","0.3","0.0","0.0","0.0","0.0","6.4"
"Dax Milne","WAS","4.0","46.9","0.2","0.0","2.5","0.0","0.0","6.3"
"Simi Fehoko","DAL","3.5","42.4","0.3","0.0","0.0","0.0","0.0","6.3"
"Andy Isabella","BUF","2.5","40.9","0.2","0.0","5.6","0.0","0.0","6.3"
"Dennis Houston","DAL","3.5","42.1","0.3","0.0","0.0","0.0","0.0","6.2"
"Cody Chrest","GB","3.4","43.1","0.3","0.0","3.2","0.0","0.0","6.2"
"Stanley Morgan Jr.","CIN","3.8","42.9","0.3","0.0","0.0","0.0","0.0","6.2"
"Seth Williams","JAC","3.7","47.0","0.2","0.0","0.0","0.0","0.0","6.1"
"Easop Winston Jr.","SEA","3.5","46.0","0.2","0.0","1.9","0.0","0.0","6.0"
"Jacob Harris","JAC","3.7","46.1","0.2","0.0","0.0","0.0","0.0","6.0"
"KeeSean Johnson","BUF","3.6","41.0","0.3","0.0","0.0","0.0","0.0","6.0"
"Jaelon Darden","CLE","2.3","43.9","0.2","0.0","2.8","0.0","0.0","5.7"
"Brandon Johnson","DEN","3.4","42.3","0.2","0.0","0.8","0.0","0.0","5.7"
"Danny Gray","SF","1.5","50.5","0.1","0.3","2.1","0.0","0.1","5.6"
"Erik Ezukanma","MIA","3.6","49.4","0.1","0.2","1.2","0.0","0.1","5.4"
"Austin Trammell","LAR","3.3","42.0","0.2","0.0","0.0","0.0","0.0","5.2"
"Trent Taylor","CIN","2.3","32.2","0.2","0.0","5.8","0.0","0.0","5.1"
"C.J. Saunders","CAR","3.4","40.1","0.2","0.0","0.0","0.0","0.0","5.1"
"Cam Sims","LV","3.4","44.8","0.1","0.1","0.3","0.0","0.0","5.0"
"Dez Fitzpatrick","PIT","3.3","39.8","0.2","0.0","0.0","0.0","0.0","5.0"
"Tylan Wallace","BAL","3.0","45.5","0.1","0.2","1.2","0.0","0.1","5.0"
"Cody White","PIT","3.3","39.4","0.2","0.0","0.0","0.0","0.0","5.0"
"Keke Coutee","MIA","3.4","39.0","0.2","0.0","0.0","0.0","0.0","4.9"
"Keelan Cole Sr.","LV","3.3","38.8","0.2","0.0","0.0","0.0","0.0","4.9"
"Mason Kinsey","TEN","3.1","38.5","0.2","0.0","0.0","0.0","0.0","4.9"
"Michael Woods II","CLE","3.1","38.2","0.2","0.0","0.0","0.0","0.0","4.8"
"Tim Jones","JAC","2.8","37.6","0.2","0.0","0.7","0.0","0.0","4.8"
"Racey McMath","TEN","3.0","37.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Derius Davis","LAC","0.0","46.6","0.0","0.2","1.2","0.0","0.0","4.8"
"Malik Turner","IND","2.9","37.1","0.2","0.0","0.0","0.0","0.0","4.7"
"Mike Strachan","IND","2.9","35.6","0.2","0.0","0.0","0.0","0.0","4.6"
"Vyncint Smith","IND","2.9","35.5","0.2","0.0","0.0","0.0","0.0","4.6"
"Chris Conley","SF","3.0","34.9","0.2","0.0","0.0","0.0","0.0","4.6"
"Jalen Camp","HOU","2.1","32.4","0.1","0.0","3.4","0.0","0.0","4.5"
"James Proche II","BAL","2.1","37.0","0.1","0.0","0.8","0.0","0.0","4.4"
"Josh Ali","ATL","2.8","32.7","0.2","0.0","0.0","0.0","0.0","4.3"
